frecuencia_viajes_ano,tiempo_estadia_dias,monto_declarado_usd,tiempo_tramite_min
25,2.4,3215.61,3.8
2,86.9,500.0,28.2
26,4.7,4588.09,2.1
4,69.0,1188.36,24.9
1,6.8,1894.86,6.0
2,10.8,2078.03,7.0
1,70.8,823.66,20.1
32,4.6,3789.61,3.3
1,10.8,1714.04,4.5
23,2.6,2940.68,2.3
7,89.1,500.0,23.0
17,2.4,3600.88,3.6
4,68.8,618.3,15.0
1,16.5,1699.64,4.2
12,3.2,3709.3,4.7
5,27.7,500.0,16.1
7,87.7,500.0,19.4
26,1.7,1904.03,4.2
1,81.6,1020.41,15.5
26,2.5,3894.15,3.0
1,9.2,2138.39,4.3
2,11.8,1485.24,6.6
3,15.3,2072.33,5.0
3,7.2,1659.69,4.7
2,17.0,500.0,5.2
26,4.5,4987.97,2.3
2,7.7,2185.21,6.1
3,6.8,1646.11,5.6
3,11.6,2083.93,5.1
18,2.4,4281.05,3.7
20,2.0,4116.54,5.2
1,6.4,2448.7,5.1
3,10.9,1733.47,6.4
1,14.4,1779.19,6.0
19,3.5,3002.21,3.0
2,9.5,1240.44,5.5
1,8.2,1958.9,6.7
3,6.4,535.33,6.2
2,28.1,746.29,13.4
29,3.6,4049.48,5.1
20,3.4,2523.54,2.6
24,4.6,2069.86,2.6
4,70.0,1090.06,22.9
1,12.2,2415.08,8.9
30,1.9,2815.26,4.5
3,13.3,1608.76,6.3
21,2.1,2997.14,5.3
3,9.0,1592.07,8.7
2,11.5,500.0,7.3
22,4.3,3072.27,5.7
2,11.1,2491.45,6.0
27,1.1,3144.4,6.0
32,1.4,2753.93,4.1
2,17.6,2272.7,7.6
3,10.1,2231.4,6.1
12,4.7,3258.14,5.6
3,11.1,1775.1,8.1
21,2.3,2343.51,3.5
3,9.7,2449.09,8.9
1,15.6,1751.45,8.5
21,3.3,2066.36,3.5
12,3.5,1827.99,5.7
3,16.2,1784.52,8.4
1,11.0,1703.61,4.9
13,3.8,5411.23,5.4
2,68.3,1235.87,19.6
2,12.0,2118.32,5.6
24,4.7,4326.08,4.3
1,12.9,1779.21,7.3
2,13.0,2473.93,6.8
13,4.6,3492.95,5.5
2,13.2,1978.76,8.6
34,4.6,3245.72,5.4
3,10.9,1430.06,7.3
23,3.0,3853.66,2.2
2,15.9,1502.55,6.3
2,12.4,2297.93,8.5
1,15.3,947.46,5.6
2,8.6,2494.3,6.0
2,13.0,757.39,4.4
30,3.2,3225.44,3.3
1,16.1,2305.07,5.0
4,34.1,1413.59,24.0
1,9.9,2362.84,7.1
1,85.5,500.0,19.3
2,12.4,1304.41,8.2
3,6.3,2183.99,8.8
2,17.0,2251.13,4.8
15,3.0,3168.37,2.1
33,1.5,1982.1,3.7
2,11.8,1004.34,5.8
3,10.1,2059.94,8.3
19,2.1,3663.06,3.5
1,46.3,769.94,13.2
7,75.9,1538.65,17.8
24,1.7,2824.69,2.1
3,17.7,2218.03,7.6
3,17.7,2350.83,6.1
1,12.1,2057.64,7.9
1,15.4,2522.09,4.7
1,16.1,2810.2,4.5
2,10.4,2808.44,8.2
2,15.3,1401.52,6.2
18,4.4,4516.91,3.8
32,1.6,2931.9,2.5
1,14.6,1650.13,8.4
1,10.6,1851.74,6.7
3,14.8,1487.65,4.5
3,9.0,794.04,7.3
3,7.5,2053.37,6.2
13,4.2,3373.82,3.5
1,13.7,2119.45,8.0
1,16.3,1690.95,8.8
15,4.7,3548.72,3.4
3,8.8,2442.27,6.8
4,67.3,1405.81,13.9
1,8.2,1928.08,7.6
13,1.6,4017.73,4.4
2,12.7,3026.92,7.0
3,66.5,678.59,18.4
2,15.8,1877.2,5.2
5,51.3,1358.97,21.3
3,8.6,2118.99,8.8
3,15.0,1937.0,4.2
2,8.6,1887.71,7.4
18,1.2,2459.85,5.5
14,4.8,3118.09,3.9
1,16.1,2369.09,7.1
4,73.0,864.19,18.4
32,2.4,4748.3,2.6
32,3.7,4821.08,2.9
12,4.4,5029.85,3.8
22,1.9,3081.45,2.2
3,9.3,1825.15,7.4
19,3.9,4662.04,4.0
4,69.8,500.0,19.7
21,4.5,2415.95,4.6
6,54.6,559.61,26.0
28,1.9,3308.62,3.1
24,4.1,2996.24,3.0
14,3.0,3127.47,5.0
7,39.0,553.02,24.5
3,7.2,1624.57,7.7
2,16.6,2115.72,6.8
3,17.3,2489.14,7.0
1,27.0,500.0,24.5
6,26.9,500.0,13.7
2,82.1,500.0,13.2
29,3.8,4227.79,2.5
3,12.1,1897.43,6.9
2,12.3,2264.05,4.6
29,3.9,2915.41,3.4
23,4.2,3789.98,4.4
18,1.6,3824.98,5.2
17,3.1,2483.3,5.9
26,3.0,2882.54,4.2
4,58.0,848.2,27.9
18,1.0,3148.39,5.6
19,3.6,4244.75,2.8
14,1.1,4756.03,4.9
2,12.0,1681.82,7.2
3,7.7,1941.78,5.2
33,2.0,5189.05,4.1
34,2.4,4261.61,5.9
3,16.0,1875.68,5.1
16,3.0,3991.07,5.0
28,3.8,3555.72,3.3
3,12.8,1562.93,7.7
3,10.5,1699.6,7.9
19,4.9,4033.64,4.5
1,15.7,945.62,6.4
23,3.8,3509.72,2.7
1,13.2,2016.15,6.3
3,10.0,2075.53,6.7
1,16.8,1921.75,8.8
3,14.8,1497.69,7.7
33,2.0,3512.11,3.1
3,12.8,1050.08,7.3
3,17.7,1827.16,7.0
2,7.7,2141.79,7.3
1,16.4,1722.98,6.3
5,61.9,888.91,16.1
3,10.2,2368.3,8.3
2,14.6,1915.24,4.8
15,2.0,3110.85,5.8
19,2.7,3564.16,3.5
18,1.4,3632.02,4.9
6,74.5,988.78,21.7
20,2.2,4116.69,4.1
1,14.2,1675.87,5.9
1,8.0,1774.94,7.0
7,57.3,956.83,22.7
4,90.0,500.0,16.9
27,4.5,3965.05,4.5
2,17.5,1866.47,4.5
18,2.0,4974.97,4.5
13,4.3,2464.05,5.4
3,16.0,1943.49,8.7
1,79.5,1071.99,21.8
2,12.4,2172.02,8.1
14,4.0,3283.17,2.4
3,14.3,1492.49,5.8
15,1.4,3878.9,5.6
1,8.4,1747.98,7.1
5,62.1,786.53,14.5
3,9.7,2314.32,4.5
33,4.2,4127.21,3.1
2,7.5,1822.38,7.6
1,15.5,909.72,8.3
3,10.9,2393.19,7.0
1,9.0,2175.95,6.0
1,10.0,1475.72,7.5
2,51.4,500.0,28.1
21,4.7,4524.43,5.6
4,31.1,500.0,27.5
27,4.2,4916.35,2.2
24,3.8,3411.25,5.0
1,6.4,2315.24,6.0
31,3.3,4286.8,2.5
2,12.7,2164.77,7.8
30,4.9,4513.13,5.8
2,13.2,1798.49,4.8
1,13.2,1687.5,5.3
3,13.5,1851.06,5.7
1,9.7,2120.45,4.7
29,3.6,4201.4,2.3
22,4.0,4460.33,4.1
3,31.9,1109.23,25.0
5,69.4,698.93,19.0
2,12.0,1689.4,7.9
3,7.2,1358.42,5.0
19,4.6,2577.95,5.3
14,1.8,4586.3,2.7
16,3.6,4352.18,2.8
34,3.0,3252.73,3.1
3,25.3,1421.02,27.1
2,7.0,1053.09,5.6
2,13.5,1396.98,5.7
26,3.4,2164.69,6.0
16,3.5,3543.48,4.4
26,3.2,3685.84,2.7
26,4.4,3571.1,3.1
34,5.0,5320.61,4.7
32,1.0,3785.84,2.2
26,1.1,3397.27,2.1
33,1.1,3947.29,3.9
32,3.0,2051.89,3.4
18,1.4,3142.58,4.0
1,11.6,1620.28,7.0
1,8.6,1529.05,7.0
3,17.8,1567.75,7.8
1,16.9,1682.27,7.3
1,11.9,1452.29,6.9
14,1.6,2210.22,3.8
3,77.5,825.48,16.2
15,3.8,4952.87,4.3
1,13.1,2397.09,7.1
34,3.3,4143.05,5.2
1,14.4,2287.43,4.1
5,56.8,519.95,26.8
2,10.4,1821.64,4.4
2,11.8,2478.32,7.0
14,3.6,3009.52,2.5
1,16.4,1634.21,7.1
2,16.9,940.23,7.9
3,12.9,2309.44,5.6
16,2.7,3496.35,4.0
2,7.3,1600.55,6.6
4,45.6,695.44,26.7
2,10.9,2109.07,5.5
28,3.6,5378.4,4.8
7,67.8,500.0,29.8
3,15.4,1831.81,8.2
15,4.5,3007.89,3.4
31,2.3,3415.91,4.2
