inspectores_turno,presupuesto_usd,tiempo_espera_min,tramites_procesados
29,5222.68,30.3,1675
8,2053.03,20.8,475
15,3124.79,31.3,853
13,2945.86,42.8,688
10,2256.34,18.0,580
9,2086.95,52.3,506
23,4350.77,33.7,1253
13,2702.23,31.9,693
34,6343.71,37.8,1808
34,6114.19,25.7,1935
32,5653.48,18.7,1867
33,5855.2,51.5,1783
9,1998.89,44.0,521
32,5787.73,10.1,1888
29,5539.55,36.5,1612
5,1374.79,26.8,258
30,5319.04,12.6,1799
5,1284.32,59.1,203
18,3581.37,16.2,1134
13,2661.58,30.1,690
32,5475.6,40.3,1874
23,4563.43,53.1,1240
8,1878.09,36.7,433
18,3278.7,55.2,972
7,1596.3,39.9,493
31,5512.1,46.0,1730
10,2169.06,53.4,531
12,2551.42,23.9,706
25,4064.77,14.9,1413
15,2947.53,13.3,948
29,5115.7,14.8,1727
9,1935.88,39.9,479
28,4763.4,51.1,1564
16,3065.89,34.0,934
31,5657.13,29.2,1850
22,3783.28,57.6,1170
9,2120.4,56.6,523
21,3962.13,11.5,1237
34,6137.66,12.9,2005
32,5897.52,36.1,1754
20,3451.05,46.2,1036
22,4276.55,57.9,1150
7,1496.2,59.5,343
24,4652.95,46.7,1347
20,3692.25,48.4,1058
30,5434.35,47.9,1659
20,3709.24,39.9,1156
32,5681.24,32.8,1757
31,5661.95,13.2,1841
19,3687.93,34.6,1092
31,5632.76,21.9,1720
10,2497.92,15.1,682
31,5761.46,28.6,1761
24,4411.62,21.3,1445
20,3747.18,58.9,1129
6,1419.95,39.7,303
5,1460.03,48.5,328
17,3116.48,42.5,958
9,2100.23,17.9,582
24,4518.78,10.3,1444
23,4342.83,26.5,1313
32,6100.89,56.6,1739
17,3355.62,54.2,941
27,4734.76,47.2,1520
25,4351.14,52.6,1302
8,1779.13,37.2,505
24,4622.21,27.3,1347
30,5326.68,43.8,1765
5,1495.7,39.5,336
8,1645.92,39.7,485
26,5236.17,40.8,1510
22,4213.99,49.8,1161
12,2392.01,33.7,706
30,5392.58,40.0,1679
15,2829.62,36.4,872
6,1550.18,21.0,467
31,5706.74,26.5,1784
28,4986.4,39.9,1530
18,3560.66,31.7,1135
5,1694.2,35.8,168
13,2434.3,48.6,681
9,1905.41,52.6,497
16,2809.06,43.1,840
34,5983.75,35.9,1900
28,4875.15,55.4,1575
34,5735.62,54.1,1872
17,3199.29,46.6,951
30,5413.51,47.3,1667
20,3778.32,22.4,1136
34,6075.02,44.8,1843
5,1507.71,49.2,294
7,1747.34,40.6,471
33,5891.85,38.0,1871
5,1282.32,45.4,251
11,2219.52,18.2,685
18,3353.59,43.5,1020
24,4160.86,17.3,1475
23,4354.18,46.2,1186
13,2803.93,38.6,736
18,3393.25,42.8,1014
19,3462.46,22.5,1147
33,5664.94,48.8,1722
18,3439.36,57.7,1070
9,2077.87,18.3,529
22,4092.42,10.1,1340
7,1491.53,22.3,448
19,3757.04,21.5,1017
24,4677.45,51.2,1338
20,3842.78,36.1,1218
15,2862.99,58.7,868
16,3183.58,13.4,1000
32,5958.95,55.0,1795
7,1571.92,15.5,418
12,2433.87,33.1,672
20,3414.06,24.9,1089
34,6398.48,55.6,1914
16,3101.51,24.1,996
33,5797.84,14.3,1945
27,4605.93,31.1,1502
17,3389.11,36.1,958
26,4881.88,21.7,1451
21,3827.72,57.1,1157
9,1965.77,54.2,431
32,6056.72,23.2,1906
11,2565.11,27.8,641
26,4595.1,53.6,1386
17,3223.36,41.1,971
27,5187.11,57.4,1499
28,5229.57,54.0,1496
7,1588.67,31.9,503
15,2822.51,28.2,950
31,5630.17,51.0,1726
16,3501.5,29.8,959
14,3011.66,46.2,737
15,3008.11,36.6,906
12,2556.92,34.7,687
14,2801.31,23.6,726
5,1326.33,29.6,363
16,2929.89,41.9,844
10,2238.99,32.3,567
34,5999.76,12.2,2025
22,4199.71,46.1,1323
19,3517.71,38.7,1037
30,5379.64,36.5,1690
34,5996.93,15.8,1994
11,2237.78,20.0,690
11,2411.37,23.0,609
21,4026.81,39.4,1141
6,1487.07,16.6,445
10,2409.57,18.1,647
29,5277.68,59.6,1521
24,4364.51,37.8,1307
6,1384.53,13.7,352
34,5969.22,33.4,1854
10,2096.44,11.0,638
28,4927.1,36.0,1527
8,1992.37,40.5,517
5,1256.84,36.9,205
19,3799.1,34.1,1071
26,4769.54,25.6,1493
11,2370.25,48.7,612
24,4536.09,47.3,1391
25,4774.98,41.6,1402
32,5754.05,29.8,1868
10,2586.0,22.6,673
28,5018.09,15.7,1606
16,2875.49,29.9,952
14,2880.66,17.0,774
12,2596.89,13.6,813
33,5795.44,31.9,1830
8,2115.14,40.6,495
29,5162.31,52.6,1661
6,1570.35,49.4,310
34,6166.08,20.2,1983
31,5717.77,14.1,1801
32,5399.18,32.7,1775
31,5845.89,43.1,1719
11,2563.4,47.4,598
6,1609.98,29.6,436
27,4951.0,29.2,1480
13,2630.56,33.3,793
23,4158.06,54.1,1305
14,2969.29,32.4,867
6,1581.48,32.1,373
24,4687.04,33.4,1363
29,5340.22,37.9,1523
6,1437.2,10.5,382
17,3606.73,35.8,935
27,4952.58,10.2,1538
20,4088.54,46.6,1071
25,4733.92,11.8,1506
8,2179.9,41.3,617
17,3529.94,29.2,976
20,3925.96,24.9,1174
13,2755.62,10.1,903
19,4128.1,44.7,1049
29,5260.88,57.9,1602
7,1996.14,51.1,417
24,4186.23,41.2,1367
33,5921.58,46.8,1790
22,4505.71,29.8,1347
23,4369.98,30.2,1285
26,4701.61,33.5,1408
19,3454.27,45.2,1047
8,1970.16,33.2,534
33,5824.73,34.9,1827
21,3948.49,19.7,1213
23,4185.44,26.6,1326
23,4317.53,57.6,1231
26,4478.83,58.1,1320
29,5537.6,10.9,1709
22,4086.77,43.1,1220
24,4376.99,27.7,1356
11,2383.93,33.1,674
30,5652.44,14.2,1817
13,2767.92,53.4,738
15,2931.75,49.0,856
20,3458.31,58.2,1055
6,1567.61,15.2,361
34,5976.2,20.0,1958
21,3930.42,10.9,1259
16,3215.04,39.5,920
24,4717.05,53.4,1318
12,2266.01,39.4,654
28,5278.98,50.2,1671
26,4531.54,52.7,1425
18,3364.42,39.4,971
32,5708.82,52.9,1746
11,2540.89,17.9,700
7,1720.27,19.2,458
13,2803.74,46.1,762
16,3087.81,48.5,918
32,5922.46,29.2,1914
19,3526.46,49.9,1023
7,1621.73,35.7,460
32,5748.44,12.3,1906
26,4863.33,29.0,1488
30,5422.66,51.5,1614
31,5524.77,12.3,1729
25,4685.17,51.9,1424
34,6144.86,51.9,1879
7,1688.02,19.3,589
29,5320.22,38.6,1624
14,2924.03,58.1,717
25,4677.8,47.1,1387
31,5530.86,16.6,1843
28,4761.39,21.8,1526
27,4849.21,46.6,1410
31,5586.72,29.6,1731
23,4415.88,35.2,1248
23,4212.89,11.8,1381
7,1828.12,26.1,450
27,4726.34,42.4,1461
21,3990.69,46.2,1100
14,2749.34,58.4,731
26,4762.26,21.4,1462
20,3833.9,51.3,971
11,2530.0,10.5,634
5,1352.39,36.5,251
13,2467.01,14.4,774
9,1846.33,33.2,508
6,1614.46,48.0,415
26,4863.02,38.5,1481
8,1804.12,10.3,525
9,1972.8,51.8,451
5,1367.98,38.1,306
17,2798.27,33.8,1010
5,1764.48,30.7,364
29,5252.41,12.7,1775
33,6023.74,36.7,1888
26,4752.85,35.6,1412
14,2655.24,16.0,814
6,1429.79,52.1,344
12,2288.25,12.6,720
7,1626.21,50.9,390
30,5502.59,40.4,1667
5,1394.23,52.0,224
8,1785.97,59.0,418
